Miesiac,Region,CelNetto
2025-01-01,Północ,18900
2025-01-01,Południe,20300
2025-01-01,Wschód,21700
2025-01-01,Zachód,23100
2025-02-01,Północ,19800
2025-02-01,Południe,21200
2025-02-01,Wschód,22600
2025-02-01,Zachód,24000
2025-03-01,Północ,20700
2025-03-01,Południe,22100
2025-03-01,Wschód,23500
2025-03-01,Zachód,24900
2025-04-01,Północ,21600
2025-04-01,Południe,23000
2025-04-01,Wschód,24400
2025-04-01,Zachód,25800
2025-05-01,Północ,22500
2025-05-01,Południe,23900
2025-05-01,Wschód,25300
2025-05-01,Zachód,26700
2025-06-01,Północ,23400
2025-06-01,Południe,24800
2025-06-01,Wschód,26200
2025-06-01,Zachód,27600
2025-07-01,Północ,24300
2025-07-01,Południe,25700
2025-07-01,Wschód,27100
2025-07-01,Zachód,28500
2025-08-01,Północ,25200
2025-08-01,Południe,26600
2025-08-01,Wschód,28000
2025-08-01,Zachód,29400
2025-09-01,Północ,26100
2025-09-01,Południe,27500
2025-09-01,Wschód,28900
2025-09-01,Zachód,30300
2025-10-01,Północ,27000
2025-10-01,Południe,28400
2025-10-01,Wschód,29800
2025-10-01,Zachód,31200
2025-11-01,Północ,27900
2025-11-01,Południe,29300
2025-11-01,Wschód,30700
2025-11-01,Zachód,32100
2025-12-01,Północ,28800
2025-12-01,Południe,30200
2025-12-01,Wschód,31600
2025-12-01,Zachód,33000
2026-01-01,Północ,23900
2026-01-01,Południe,25300
2026-01-01,Wschód,26700
2026-01-01,Zachód,28100
2026-02-01,Północ,24800
2026-02-01,Południe,26200
2026-02-01,Wschód,27600
2026-02-01,Zachód,29000
2026-03-01,Północ,25700
2026-03-01,Południe,27100
2026-03-01,Wschód,28500
2026-03-01,Zachód,29900
2026-04-01,Północ,26600
2026-04-01,Południe,28000
2026-04-01,Wschód,29400
2026-04-01,Zachód,30800
2026-05-01,Północ,27500
2026-05-01,Południe,28900
2026-05-01,Wschód,30300
2026-05-01,Zachód,31700
2026-06-01,Północ,28400
2026-06-01,Południe,29800
2026-06-01,Wschód,31200
2026-06-01,Zachód,32600
2026-07-01,Północ,29300
2026-07-01,Południe,30700
2026-07-01,Wschód,32100
2026-07-01,Zachód,33500
2026-08-01,Północ,30200
2026-08-01,Południe,31600
2026-08-01,Wschód,33000
2026-08-01,Zachód,34400
2026-09-01,Północ,31100
2026-09-01,Południe,32500
2026-09-01,Wschód,33900
2026-09-01,Zachód,35300
2026-10-01,Północ,32000
2026-10-01,Południe,33400
2026-10-01,Wschód,34800
2026-10-01,Zachód,36200
2026-11-01,Północ,32900
2026-11-01,Południe,34300
2026-11-01,Wschód,35700
2026-11-01,Zachód,37100
2026-12-01,Północ,33800
2026-12-01,Południe,35200
2026-12-01,Wschód,36600
2026-12-01,Zachód,38000
