IDProduktu,NazwaProduktu,Kategoria,Podkategoria,Marka,CenaBazowa
P001,SonicWave Air Mini,Elektronika,Audio,SonicWave,67.40
P002,VisionCore 24 Essential,Elektronika,Monitory,VisionCore,104.90
P003,LinkPro USB-C 1 m,Akcesoria,Kable,LinkPro,142.40
P004,ErgoType Compact,Akcesoria,Ergonomia,ErgoType,179.90
P005,NovaBook 14 Office,Komputery,Laptopy,NovaTech,217.40
P006,TabPoint 10 LTE,Elektronika ,Tablety,TabPoint,254.90
P007,SonicWave Air Pro,Elektronika,Audio,SonicWave,292.40
P008,VisionCore 27 QHD,Elektronika,Monitory,VisionCore,329.90
P009,LinkPro USB-C 2 m,Akcesoria,Kable,LinkPro,367.40
P010,ErgoLift Laptop Stand,Akcesoria,Ergonomia,ErgoType,404.90
P011,NovaBook 15 Business,Komputery,Laptopy,NovaTech,442.40
P012,TabPoint 11 Plus,Komputery,monitory,TabPoint,479.90
P013,SoundDesk Speaker,Elektronika,Audio,SonicWave,517.40
P014,VisionCore 32 UltraWide,Elektronika,Monitory,VisionCore,554.90
P015,LinkPro HDMI 2 m,Akcesoria,Kable,LinkPro,592.40
P016,ErgoMouse Vertical,Akcesoria,Ergonomia,ErgoType,629.90
P017,NovaBook 16 Pro,Komputery,Laptopy,NovaTech,667.40
P018,TabPoint 12 Pro,Komputery,Tablety,TabPoint,704.90
P019,SoundDesk Headset,Elektronika,Audio,SonicWave,742.40
P020,VisionCore 27 USB-C,Elektronika,Monitory,VisionCore,779.90
P021,LinkPro USB Hub 7,Akcesoria,Kable,LinkPro,817.40
P022,ErgoDock Universal,Akcesoria,Ergonomia,ErgoType,854.90
P023,NovaBook 14 Lite,Komputery,Laptopy,NovaTech,892.40
P024,TabPoint 8 Field,Komputery,Tablety,TabPoint,929.90
P025,SonicWave Conference,Elektronika,Audio,SonicWave,967.40
P026,VisionCore 34 Curved,Elektronika,Monitory,VisionCore,1004.90
P027,LinkPro DisplayPort 2 m,Akcesoria,Kable,LinkPro,1042.40
P028,ErgoType Silent Keyboard,Akcesoria,Ergonomia,ErgoType,1079.90
P029,NovaBook 17 Workstation,Komputery,Laptopy,NovaTech,1117.40
P030,TabPoint 13 Max,Komputery,Tablety,TabPoint,1154.90
