"IDTransakcji","DataSprzedazy","DataWysylki","IDKanalu","Ilosc","CenaJednostkowa","Rabat","KosztJednostkowy","ProduktSurowy","KlientSurowy","Region","StatusZamowienia","NotatkaTechniczna","Kanal","TypKanalu"
"T000001","17-07-26","22-07-26","K01","10","141.84","0","34.97","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0163  ;  VIP","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000002","2026-09-21","25-09-26","K02","4","62.09","0.05","28.25","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0039  ;  VIP","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000003","27-02-26","03-03-26","K02","2","55.58","0","25.12","P019 | Produkt szkoleniowy 19 | Akcesoria","Klient 0441  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000004","2025-10-13","16-10-25","K03","5","118.01","0.1","66.51","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0292  ;  Detal","Zachód","Anulowane","legacy_source","Partner","B2B / Partner"
"T000005","24-08-26","26-08-26","K02","1","91.80","0.05","21.54","P048 | Produkt szkoleniowy 48 | Oprogramowanie","Klient 0233  ;  B2B","Południe","Zrealizowane","legacy_source","Sklep","Retail"
"T000006","2026-10-23","2026-10-25","K02","1","86.55","0","51.75","P018 | Produkt szkoleniowy 18 | Elektronika","Klient 0013  ;  B2B","Południe","Zrealizowane","import_batch_02","Sklep","Retail"
"T000007","18-11-25","19-11-25","K01","9","89.89","0.05","50.38","P010 | Produkt szkoleniowy 10 | Elektronika","Klient 0323  ;  VIP","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000008","25-12-26","30-12-26","K01","2","123.35","0.05","71.29","P009 | Produkt szkoleniowy 09 | Komputery","Klient 0001  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000009","22-11-26","29-11-26","K01","4","110.46","0","70.52","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0016  ;  Detal","Zachód","W realizacji","import_batch_02","Online","E-commerce"
"T000010","2025-06-20","23-06-25","K01","7","105.28","0.05","25.73","P004 | Produkt szkoleniowy 04 | Oprogramowanie","Klient 0098  ;  B2C","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000011","31-12-26","03-01-27","K04","6","83.17","0","37.37","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0143  ;  VIP","Południe","Zrealizowane","legacy_source","Telefon","Inside Sales"
"T000012","2026-07-18","20-07-26","K02","3","120.69","0.1","70.61","P001 | Produkt szkoleniowy 01 | Komputery","Klient 0257  ;  B2B","Północ","Zrealizowane","import_batch_02","Sklep","Retail"
"T000013","21-09-26","28-09-26","K01","2","68.55","0.05","33.51","P011 | Produkt szkoleniowy 11 | Akcesoria","Klient 0409  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000014","09-10-26","2026-10-14","K01","4","108.97","0.1","53.52","P007 | Produkt szkoleniowy 07 | Akcesoria","Klient 0253  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000015","13-02-26","16-02-26","K01","10","109.53","0","27.97","P032 | Produkt szkoleniowy 32 | Oprogramowanie","Klient 0491  ;  VIP","Wschód","Zrealizowane","import_batch_02","Online","E-commerce"
"T000016","2026-11-12","14-11-26","K01","6","144.51","0","86.95","P034 | Produkt szkoleniowy 34 | Elektronika","Klient 0004  ;  Detal","Południe","W realizacji","legacy_source","Online","E-commerce"
"T000017","13-11-25","16-11-25","K01","9","138.76","0.05","35.08","P008 | Produkt szkoleniowy 08 | Oprogramowanie","Klient 0001  ;  B2B","Południe","Zrealizowane","legacy_source","Online","E-commerce"
"T000018","02-11-26","2026-11-09","K01","2","102.70","0","51.38","P015 | Produkt szkoleniowy 15 | Akcesoria","Klient 0371  ;  VIP","Północ","Zrealizowane","import_batch_02","Online","E-commerce"
"T000019","17-10-25","21-10-25","K04","2","136.26","0","79.78","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0195  ;  VIP","Wschód","W realizacji","legacy_source","Telefon","Inside Sales"
"T000020","03-10-26","07-10-26","K01","1","117.68","0.05","63.72","P006 | Produkt szkoleniowy 06 | Elektronika","Klient 0416  ;  Detal","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
"T000021","2026-09-24","2026-09-25","K03","14","111.03","0.1","27.62","P044 | Produkt szkoleniowy 44 | Oprogramowanie","Klient 0072  ;  Detal","Południe","Zrealizowane","import_batch_02","Partner","B2B / Partner"
"T000022","2026-10-23","2026-10-26","K03","13","132.22","0.1","80.42","P014 | Produkt szkoleniowy 14 | Elektronika","Klient 0021  ;  B2B","Zachód","Zrealizowane","legacy_source","Partner","B2B / Partner"
"T000023","11-05-26","16-05-26","K01","2","119.82","0.05","69.69","P030 | Produkt szkoleniowy 30 | Elektronika","Klient 0025  ;  B2B","Zachód","Zrealizowane","legacy_source","Online","E-commerce"
